0,0,255
1,0,255
0,1,255
1,1,255
2,2,255
2,3,255
3,3,255
3,4,255
4,4,255
4,5,255
5,5,255
5,6,255
5,7,255
6,7,255
6,8,255
7,8,255
7,9,255
7,10,255
8,10,255
8,11,255
9,11,255
9,12,255
10,13,255
11,13,255
11,14,255
12,14,255
12,15,255
13,15,255
13,16,255
14,16,255
14,17,255
15,18,255
15,19,255
15,20,255
16,20,255
16,21,255
16,22,255
17,22,255
17,23,255
17,24,255
18,24,255
18,25,255
19,25,255
19,26,255
19,27,255
20,27,255
20,28,255
21,28,255
21,29,255
22,29,255
22,30,255
23,30,255
23,31,255
24,31,255
24,32,255
25,32,255
25,33,255
26,33,255
27,33,255
25,34,255
27,34,255
28,34,255
29,34,255
26,35,255
29,35,255
30,35,255
31,35,255
26,36,255
31,36,255
32,36,255
33,36,255
59,36,255
60,36,255
61,36,255
62,36,255
63,36,255
26,37,255
27,37,255
33,37,255
34,37,255
35,37,255
58,37,255
59,37,255
27,38,255
35,38,255
36,38,255
37,38,255
57,38,255
58,38,255
27,39,255
28,39,255
38,39,255
39,39,255
40,39,255
41,39,255
42,39,255
43,39,255
44,39,255
45,39,255
46,39,255
47,39,255
48,39,255
49,39,255
50,39,255
51,39,255
52,39,255
53,39,255
54,39,255
55,39,255
56,39,255
57,39,255
28,40,255
28,41,255
29,41,255
29,42,255
30,42,255
30,43,255
31,43,255
31,44,255
32,44,255
32,45,255
33,45,255
33,46,255
34,46,255
34,47,255
35,47,255
36,47,255
36,48,255
37,49,255
37,50,255
38,50,255
38,51,255
39,51,255
39,52,255
40,52,255
40,53,255
41,54,255
41,55,255
42,55,255
42,56,255
43,56,255
43,57,255
44,57,255
44,58,255
45,58,255
46,59,255
47,59,255
48,59,255
49,59,255
49,60,255
50,60,255
50,61,255
51,61,255
52,61,255
52,62,255
53,62,255
53,63,255
54,63,255
55,63,255
56,63,255
57,63,255
58,63,255
59,63,255
60,63,255
61,63,255
62,63,255
63,63,255
